timestep,target,baseline_mean,baseline_std,conditioned_mean,conditioned_std
286,0.5,0.03418168,0.052473363,0.0045716064,0.022966458
287,0.5,0.034354456,0.05376546,0.005064555,0.02132695
288,0.5,0.03231837,0.054135244,0.005870592,0.020056142
289,0.5,0.032937016,0.05252127,0.006235349,0.018748164
290,0.5,0.034111258,0.05388345,0.006476383,0.017916728
291,0.5,0.03560774,0.053324435,0.0067440816,0.01703297
292,0.5,0.036844995,0.054181166,0.006818132,0.016895374
293,0.5,0.037390914,0.0528447,0.006904484,0.017058624
294,0.5,0.04394105,0.05447611,0.006491649,0.015899645
295,0.5,0.04290289,0.052098125,0.0063033327,0.01548848
296,0.5,0.045682743,0.051867772,0.0058446564,0.014338895
297,0.5,0.04911693,0.050682563,0.0068815085,0.015286129
298,0.5,0.051046573,0.05297509,0.007138103,0.015429705
299,0.5,0.051750474,0.053256415,0.008000978,0.015418388
300,0.5,0.056779608,0.052094713,0.007646347,0.015504231
301,0.5,0.06001693,0.050678547,0.008792847,0.0157028
302,0.5,0.06337782,0.050403923,0.008700559,0.015068995
303,0.5,0.06504208,0.050033838,0.010824773,0.015308923
304,0.5,0.062432274,0.047936834,0.010075957,0.014250074
305,0.5,0.06483355,0.0482908,0.009762731,0.013806818
306,0.5,0.0654061,0.048081513,0.008959911,0.012671224
307,0.5,0.06595353,0.04697883,0.007898958,0.011170746
308,0.5,0.06681803,0.04883757,0.007351877,0.010397082
309,0.5,0.065513924,0.049658507,0.006697955,0.009472339
310,0.5,0.0659281,0.050403215,0.0066925175,0.009464667
311,0.5,0.06787008,0.05306015,0.0064187553,0.009077508
312,0.5,0.06919753,0.054783043,0.005346512,0.0075611263
313,0.5,0.067513555,0.05205114,0.0054733786,0.007740534
314,0.5,0.071186766,0.055088386,0.00534085,0.007553093
315,0.5,0.07296263,0.05538164,0.004744715,0.0067100287
316,0.5,0.07342759,0.05694594,0.0047913548,0.006775999
317,0.5,0.075406656,0.057750437,0.012754848,0.0
